record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by
ATT0014650,26-07-2025,SCH-0596,5,85,60,1,Admin
ATT0009232,03-11-2025,SCH-0054,1,197,119,1,Admin
ATT0006474,16-05-2025,SCH-0433,5,58,52,0,Class Teacher
ATT0018737,21-04-2025,SCH-0379,6,94,71,1,Not Recorded
ATT0012348,30-08-2025,SCH-0208,1,234,194,1,Admin
ATT0017158,19-05-2025,SCH-0505,2,85,58,0,Not Recorded
ATT0014975,15-04-2025,SCH-0128,2,236,189,1,Not Recorded
ATT0011151,24-06-2025,SCH-0393,6,261,197,1,Admin
ATT0002175,17-05-2025,SCH-0398,3,260,271,1,Not Recorded
ATT0001505,04-05-2025,SCH-0377,8,151,125,1,Clerk
ATT0008971,09-07-2025,SCH-0268,7,96,61,1,Not Recorded
ATT0000448,30-07-2025,SCH-0286,1,272,261,1,Clerk
ATT0007459,26-05-2025,SCH-0403,8,181,188,1,Headmaster
ATT0019075,30-10-2025,SCH-0212,2,259,241,1,Not Recorded
ATT0005117,20-09-2025,SCH-0434,8,287,190,1,Not Recorded
ATT0013119,18-02-2026,SCH-0555,5,145,122,1,Admin
ATT0013105,24-01-2026,SCH-0074,9,163,146,1,Headmaster
ATT0006545,08-08-2025,SCH-0335,2,110,100,1,Not Recorded
ATT0010646,10-01-2026,SCH-0329,1,79,74,1,Clerk
ATT0008701,10-10-2025,SCH-0369,5,288,231,1,Not Recorded
ATT0005000,04-12-2025,SCH-0180,1,224,177,0,Admin
ATT0001394,09-07-2025,SCH-0328,1,183,183,1,Admin
ATT0011718,07-12-2025,SCH-0188,5,167,167,1,Clerk
ATT0004412,05-08-2025,SCH-0352,4,70,46,1,Not Recorded
ATT0016357,11-09-2025,SCH-0217,2,61,43,1,Clerk
ATT0010389,23-10-2025,SCH-0454,5,187,131,1,Headmaster
ATT0004549,01-10-2025,SCH-0517,3,70,61,0,Admin
ATT0003932,09-11-2025,SCH-0451,3,296,296,0,Headmaster
ATT0010030,27-10-2025,SCH-0598,4,218,151,0,Headmaster
ATT0003617,22-08-2025,SCH-0304,5,74,47,1,Class Teacher
ATT0010130,03-03-2026,SCH-0572,1,273,205,0,Not Recorded
ATT0002302,25-03-2026,SCH-0453,4,135,96,1,Headmaster
ATT0008115,31-10-2025,SCH-0203,1,140,125,1,Clerk
ATT0011369,10-06-2025,SCH-0215,5,284,183,1,Clerk
ATT0013204,30-09-2025,SCH-0083,6,254,182,1,Headmaster
ATT0014748,27-02-2026,SCH-0418,8,284,270,1,Clerk
ATT0009013,10-10-2025,SCH-0300,5,257,173,1,Headmaster
ATT0012196,12-03-2026,SCH-0400,2,215,183,1,Class Teacher
ATT0014093,29-05-2025,SCH-0253,3,267,213,1,Not Recorded
ATT0010139,08-10-2025,SCH-0534,1,126,80,1,Headmaster
ATT0016398,13-01-2026,SCH-0537,7,258,178,1,Headmaster
ATT0010481,07-05-2025,SCH-0363,4,86,70,1,Clerk
ATT0007137,15-05-2025,SCH-0414,7,95,87,1,Not Recorded
,24-02-2026,SCH-0012,6,112,84,1,Class Teacher
ATT0012018,13-08-2025,SCH-0265,3,202,157,1,Headmaster
ATT0019081,08-09-2025,SCH-0309,3,246,181,1,Admin
ATT0016530,22-04-2025,SCH-0166,9,217,179,1,Headmaster
ATT0012828,18-02-2026,SCH-0385,7,182,128,0,Not Recorded
